r,fraction_edited,generations
0.07,0.901948475,32
0.07,0.908812082,33
0.07,0.915195236,34
0.07,0.921131569,35
0.07,0.926652359,36
0.07,0.931786694,37
0.07,0.936561626,38
0.07,0.941002312,39
0.07,0.94513215,40
0.07,0.9489729,41
0.07,0.952544797,42
0.07,0.955866661,43
0.07,0.958955995,44
0.07,0.961829075,45
0.07,0.96450104,46
0.07,0.966985967,47
0.07,0.969296949,48
0.07,0.971446163,49
0.07,0.973444931,50
0.07,0.975303786,51
0.07,0.977032521,52
0.07,0.978640245,53
0.07,0.980135428,54
0.07,0.981525948,55
0.07,0.982819131,56
0.07,0.984021792,57
0.07,0.985140267,58
0.07,0.986180448,59
0.07,0.987147817,60
0.07,0.988047469,61
0.07,0.988884147,62
0.07,0.989662256,63
0.07,0.990385898,64
0.07,0.991058886,65
0.07,0.991684764,66
0.07,0.99226683,67
0.07,0.992808152,68
0.07,0.993311581,69
0.07,0.993779771,70
0.07,0.994215187,71
0.07,0.994620124,72
0.07,0.994996715,73
0.07,0.995346945,74
0.07,0.995672659,75
0.07,0.995975573,76
0.07,0.996257283,77
0.07,0.996519273,78
0.07,0.996762924,79
0.07,0.996989519,80
0.07,0.997200253,81
0.07,0.997396235,82
0.07,0.997578499,83
0.07,0.997748004,84
0.07,0.997905643,85
0.07,0.998052248,86
0.07,0.998188591,87
0.07,0.99831539,88
0.07,0.998433312,89
0.07,0.99854298,90
0.07,0.998644972,91
0.07,0.998739824,92
0.07,0.998828036,93
0.07,0.998910074,94
0.07,0.998986368,95
0.07,0.999057323,96
0.07,0.99912331,97
0.07,0.999184678,98
0.07,0.999241751,99
0.07,0.999294828,100
0.05,0,0
0.05,0.05,1
0.05,0.0975,2
0.05,0.142625,3
0.05,0.18549375,4
0.05,0.226219063,5
0.05,0.264908109,6
0.05,0.301662704,7
0.05,0.336579569,8
0.05,0.36975059,9
0.05,0.401263061,10
0.05,0.431199908,11
0.05,0.459639912,12
0.05,0.486657917,13
0.05,0.512325021,14
0.05,0.53670877,15
0.05,0.559873331,16
0.05,0.581879665,17
0.05,0.602785682,18
0.05,0.622646397,19
0.05,0.641514078,20
0.05,0.659438374,21
0.05,0.676466455,22
0.05,0.692643132,23
0.05,0.708010976,24
0.05,0.722610427,25
0.05,0.736479906,26
0.05,0.74965591,27
0.05,0.762173115,28
0.05,0.774064459,29
0.05,0.785361236,30
0.05,0.796093174,31
0.05,0.806288516,32
0.05,0.81597409,33
0.05,0.825175385,34
0.05,0.833916616,35
0.05,0.842220785,36
0.05,0.850109746,37
0.05,0.857604259,38
0.05,0.864724046,39
0.05,0.871487843,40
0.05,0.877913451,41
0.05,0.884017779,42
0.05,0.88981689,43
0.05,0.895326045,44
0.05,0.900559743,45
0.05,0.905531756,46
0.05,0.910255168,47
0.05,0.91474241,48
0.05,0.919005289,49
0.05,0.923055025,50
0.05,0.926902273,51
0.05,0.93055716,52
0.05,0.934029302,53
0.05,0.937327837,54
0.05,0.940461445,55
0.05,0.943438373,56
0.05,0.946266454,57
0.05,0.948953131,58
0.05,0.951505475,59
0.05,0.953930201,60
0.05,0.956233691,61
0.05,0.958422006,62
0.05,0.960500906,63
0.05,0.962475861,64
0.05,0.964352068,65
0.05,0.966134464,66
0.05,0.967827741,67
0.05,0.969436354,68
0.05,0.970964536,69
0.05,0.97241631,70
0.05,0.973795494,71
0.05,0.975105719,72
0.05,0.976350433,73
0.05,0.977532912,74
0.05,0.978656266,75
0.05,0.979723453,76
0.05,0.98073728,77
0.05,0.981700416,78
0.05,0.982615395,79
0.05,0.983484626,80
0.05,0.984310394,81
0.05,0.985094875,82
0.05,0.985840131,83
0.05,0.986548124,84
0.05,0.987220718,85
0.05,0.987859682,86
0.05,0.988466698,87
0.05,0.989043363,88
0.05,0.989591195,89
0.05,0.990111635,90
0.05,0.990606054,91
0.05,0.991075751,92
0.05,0.991521963,93
0.05,0.991945865,94
0.05,0.992348572,95
0.05,0.992731143,96
0.05,0.993094586,97
0.05,0.993439857,98
0.05,0.993767864,99
0.05,0.994079471,100
