id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
73,G1,0.989127,42.046016,0.995244,0.117000,0.900000,120.000000,4.000000,0.193210,0.000000
74,G2,0.982404,42.333747,0.994449,0.117000,0.900000,120.000000,4.000000,0.217210,0.000000
75,G3,0.770408,53.982870,0.995795,0.115000,0.900000,135.000000,4.000000,0.189210,0.000000
76,G4,0.775328,53.640305,0.994692,0.115000,0.900000,135.000000,4.000000,0.190210,0.000000
77,G5,1.063389,39.109699,0.992374,0.117000,0.900000,135.000000,4.000000,0.288210,0.000000
78,G6,1.070575,38.847179,0.992144,0.116000,0.900000,135.000000,4.000000,0.277210,0.000000
79,G7,1.128746,36.845163,0.992285,0.117000,0.900000,105.000000,4.000000,0.191210,0.000000
80,G8,1.099348,37.830439,0.995112,0.118000,0.900000,105.000000,4.000000,0.200210,0.000000
81,G9,1.007497,41.279360,0.998830,0.115000,0.900000,150.000000,4.000000,0.317210,0.000000
82,G10,1.004618,41.397673,0.998599,0.116000,0.900000,150.000000,4.000000,0.321210,0.000000
83,G11,1.081628,38.450213,0.993245,0.115000,0.900000,120.000000,4.000000,0.194210,0.000000
84,G12,1.073006,38.759174,0.994096,0.116000,0.900000,120.000000,4.000000,0.196210,0.000000
85,H1,0.995690,41.768873,0.996385,0.117000,0.900000,120.000000,4.000000,0.191210,0.000000
86,H2,1.021153,40.727342,0.996044,0.119000,0.900000,120.000000,4.000000,0.185210,0.000000
87,H3,0.772440,53.840850,0.994863,0.116000,0.900000,135.000000,4.000000,0.179210,0.000000
88,H4,0.748626,55.553560,0.999972,0.117000,0.900000,180.000000,4.000000,0.329210,0.000000
89,H5,1.028029,40.454901,0.994735,0.116000,0.900000,150.000000,4.000000,0.377210,0.000000
90,H6,1.036865,40.110155,0.983782,0.118000,0.900000,105.000000,4.000000,0.180210,0.000000
91,H7,1.092095,38.081681,0.994896,0.119000,0.900000,105.000000,4.000000,0.193210,0.000000
92,H8,1.105132,37.632452,0.992940,0.119000,0.900000,105.000000,4.000000,0.188210,0.000000
93,H9,0.972645,42.758498,0.996363,0.116000,0.900000,165.000000,4.000000,0.372210,0.000000
94,H10,0.996108,41.751347,0.996385,0.116000,0.900000,150.000000,4.000000,0.298210,0.000000
95,H11,1.076378,38.637759,0.995197,0.115000,0.900000,120.000000,4.000000,0.181210,0.000000
