Strain,Gene,blattner,insertion,rel_cfu,rel_growth,stdev,pi_pos,stdev,
EPD088,murJ,b1069,yes,3.1E+00,1.01,0.03,1.9,0.4,
EPD089,rne,b1084,no,,,,,,
EPD090,yceQ,b1085,yes,3.1E+00,1.06,0.07,2.0,0.4,
EPD091,fabD,b1092,yes,1.0E-06,0.06,0.00,15.8,3.1,
EPD092,fabG,b1093,no,,,,,,
EPD093,acpP,b1094,no,,,,,,
EPD094,tmk,b1098,no,,,,,,
EPD095,holB,b1099,yes,1.0E-06,0.62,0.03,2.4,0.7,
EPD096,lolC,b1116,no,,,,,,
EPD097,lolD,b1117,no,,,,,,
EPD098,lolE,b1118,yes,7.3E-01,0.95,0.01,1.5,1.5,
EPD099,purB,b1131,yes,4.2E-02,0.26,0.05,4.2,4.2,
EPD100,cohE,b1145,yes,1.4E+00,0.95,0.05,2.3,2.0,
EPD101,minE,b1174,yes,1.0E-06,0.15,0.06,31.4,23.2,
EPD102,minD,b1175,no,,,,,,
EPD103,pth,b1204,yes,6.7E-01,0.22,0.07,3.5,3.8,
EPD104,prs,b1207,yes,1.0E-06,0.01,0.01,5.0,4.0,
EPD105,ispE,b1208,yes,5.6E-01,0.92,0.03,4.4,5.6,
EPD106,lolB,b1209,yes,1.3E+00,0.89,0.13,4.5,3.1,
EPD107,hemA,b1210,yes,8.8E-01,0.12,0.01,1.2,0.8,
EPD108,prfA,b1211,yes,1.7E-04,0.03,0.02,39.4,25.8,
EPD109,prmC,b1212,yes,8.3E-01,0.89,0.05,1.6,1.2,
EPD110,kdsA,b1215,yes,1.1E-02,0.22,0.07,4.9,4.4,
EPD111,topA,b1274,yes,9.2E-01,0.96,0.02,3.4,4.6,
EPD112,ribA,b1277,yes,1.0E-04,0.11,0.01,3.6,4.2,
EPD113,fabI,b1288,yes,1.0E-06,0.08,0.02,16.7,10.3,
EPD114,racR,b1356,yes,5.3E-03,0.11,0.07,11.4,7.9,
EPD115,dicA,b1570,yes,7.1E-01,0.96,0.08,3.2,4.1,
EPD116,ydfB,b1572,yes,1.0E+00,0.97,0.05,3.3,3.8,
EPD117,tyrS,b1637,yes,1.5E-03,0.02,0.01,5.9,5.3,
EPD118,ribC,b1662,yes,7.5E-01,0.90,0.05,2.8,2.9,
EPD119,ydiL,b1689,yes,8.9E-01,0.95,0.07,2.2,2.0,
EPD120,pheT,b1713,yes,7.1E-03,0.04,0.01,4.7,5.4,
EPD121,pheS,b1714,no,,,,,,
EPD122,rplT,b1716,yes,9.2E-04,0.25,0.04,3.1,3.5,
EPD123,infC,b1718,yes,1.0E-06,0.09,0.01,7.3,8.9,
EPD124,thrS,b1719,yes,1.4E+00,0.84,0.01,11.4,9.7,
EPD125,nadE,b1740,yes,6.5E-03,0.11,0.03,2.9,3.3,
EPD126,gapA,b1779,yes,2.5E+00,0.96,0.09,2.4,2.6,
EPD127,tsaB,b1807,yes,1.0E+00,0.33,0.09,2.9,3.7,
EPD128,aspS,b1866,yes,2.0E+00,0.96,0.06,5.3,5.3,
EPD129,argS,b1876,no,,,,,,
EPD130,pgsA,b1912,yes,1.2E+00,0.94,0.09,1.9,1.6,
EPD131,yefM,b2017,yes,1.1E+00,0.96,0.09,2.9,3.1,
EPD132,metG,b2114,yes,6.3E-01,0.92,0.08,3.3,3.8,
EPD133,yejM,b2188,yes,1.3E+00,0.98,0.04,3.6,4.5,
EPD134,gyrA,b2231,yes,1.7E-01,0.68,0.10,3.0,3.6,
EPD135,nrdA,b2234,yes,1.9E+00,0.96,0.04,3.4,4.8,
EPD136,nrdB,b2235,yes,1.0E-06,0.12,0.07,7.9,6.3,
EPD137,folC,b2315,yes,1.2E-01,0.96,0.12,4.9,5.2,
EPD138,accD,b2316,no,,,,,,
EPD139,fabB,b2323,yes,3.0E+00,0.97,0.06,3.0,3.6,
EPD140,gltX,b2400,yes,5.0E-03,0.03,0.01,5.4,4.8,
EPD141,ligA,b2411,yes,1.0E-06,0.43,0.11,5.9,6.8,
EPD142,zipA,b2412,yes,1.0E-06,0.22,0.10,34.0,25.1,
EPD143,dapE,b2472,yes,1.0E-01,0.33,0.11,16.2,12.5,
EPD144,dapA,b2478,yes,6.7E-04,0.01,0.01,46.3,2.8,
EPD145,der,b2511,yes,1.0E-06,0.31,0.01,2.4,2.9,
EPD146,hisS,b2514,yes,3.3E-04,0.03,0.02,6.0,5.0,
EPD147,ispG,b2515,yes,1.0E-06,0.03,0.01,52.1,19.8,
EPD148,suhB,b2533,yes,1.5E+00,0.86,0.07,2.1,1.7,
EPD149,tadA,b2559,yes,7.5E-01,0.78,0.12,1.2,0.9,
EPD150,acpS,b2563,yes,5.2E-03,0.25,0.05,6.6,6.1,
EPD151,era,b2566,yes,1.0E-06,0.08,0.01,4.8,3.7,
EPD152,lepB,b2568,yes,1.5E+00,0.99,0.04,2.2,2.0,
EPD153,rpoE,b2573,yes,6.7E-01,0.84,0.15,2.0,0.6,
EPD154,pssA,b2585,no,,,,,,
EPD155,bamD,b2595,yes,1.3E+00,0.96,0.08,1.4,1.1,
EPD156,rplS,b2606,yes,1.0E-06,0.11,0.02,2.5,2.3,
EPD157,trmD,b2607,yes,4.7E-01,0.92,0.04,4.1,4.9,
EPD158,rpsP,b2609,yes,8.8E-01,0.91,0.02,0.8,0.3,
EPD159,ffh,b2610,yes,1.4E-01,1.00,0.00,1.0,0.6,
EPD160,grpE,b2614,yes,1.8E+00,1.00,0.05,1.0,0.7,
EPD161,nadK,b2615,yes,8.5E-03,0.08,0.05,30.8,16.3,
EPD162,csrA,b2696,yes,3.0E-03,0.20,0.06,41.7,14.8,
EPD163,alaS,b2697,yes,1.0E-06,0.02,0.01,5.1,3.2,
EPD164,ispF,b2746,yes,1.5E+00,1.04,0.06,1.1,0.6,
EPD165,ispD,b2747,yes,1.0E-06,0.07,0.02,21.2,13.2,
EPD166,ftsB,b2748,yes,1.3E-03,0.98,0.05,1.5,0.8,
EPD167,eno,b2779,yes,1.7E+00,0.96,0.08,1.2,0.9,
EPD168,pyrG,b2780,yes,3.0E+00,0.94,0.05,1.0,0.7,
EPD169,mazE,b2783,yes,9.2E-01,0.97,0.01,0.8,0.5,
EPD170,lgt,b2828,yes,3.0E+00,0.93,0.05,2.1,0.8,
EPD171,prfB,b2891,no,,,,,,
EPD172,fbaA,b2925,yes,1.0E-06,0.05,0.01,24.4,1.7,
EPD173,pgk,b2926,yes,8.0E-03,0.13,0.03,4.3,0.9,
EPD174,metK,b2942,yes,4.5E-01,0.33,0.06,1.7,1.2,
EPD175,yqgF,b2949,yes,5.0E-01,0.35,0.06,1.5,1.2,
EPD176,plsC,b3018,yes,5.0E-01,0.50,0.13,2.1,0.7,
EPD177,parC,b3019,yes,5.0E-04,0.62,0.09,3.0,2.6,
EPD178,mqsA,b3021,yes,1.0E-06,0.09,0.02,1.4,0.9,
EPD179,parE,b3030,yes,1.0E-06,0.52,0.14,4.0,2.3,
EPD180,ribB,b3041,yes,3.3E+00,0.88,0.06,1.0,0.7,
EPD181,cca,b3056,yes,1.1E+00,0.99,0.02,0.7,0.4,
EPD182,tsaD,b3064,yes,3.3E+00,0.17,0.05,0.9,0.6,
EPD183,rpsU,b3065,yes,8.3E-03,0.23,0.02,1.7,1.3,
EPD184,dnaG,b3066,yes,1.3E-03,0.06,0.02,9.3,5.7,
EPD185,rpoD,b3067,yes,6.0E-01,0.98,0.09,1.3,0.7,
EPD186,tdcF,b3113,yes,1.3E+00,1.10,0.08,0.9,0.6,
EPD187,rsmI,b3146,yes,1.0E+00,0.78,0.09,1.0,0.8,
EPD188,yhbV,b3159,yes,1.3E+00,1.06,0.05,1.0,0.6,
EPD189,infB,b3168,yes,3.5E-01,0.20,0.06,2.6,1.9,
EPD190,nusA,b3169,yes,1.5E-03,0.89,0.02,1.8,0.5,
EPD191,glmM,b3176,yes,1.0E-06,0.01,0.01,48.5,4.4,
EPD192,ftsH,b3178,yes,1.3E-01,0.28,0.10,2.0,1.3,
EPD193,obgE,b3183,yes,1.0E-06,0.08,0.02,3.1,0.4,
EPD194,rpmA,b3185,yes,5.8E-01,0.47,0.13,1.5,0.2,
EPD195,rplU,b3186,no,,,,,,
EPD196,ispB,b3187,no,,,,,,
EPD197,murA,b3189,yes,5.6E-02,0.13,0.06,7.5,1.3,
EPD198,lptC,b3199,yes,1.1E+00,0.91,0.13,2.2,0.3,
EPD199,lptA,b3200,yes,8.3E-01,1.03,0.04,1.6,0.1,
EPD200,lptB,b3201,yes,1.0E-06,0.01,0.01,32.2,2.5,
EPD201,rplM,b3231,no,,,,,,
EPD202,degS,b3235,yes,8.3E-01,0.90,0.15,1.4,0.2,
