id,well,mu_hourly,doubling_time_min,r_sqrd,min_OD,max_OD,window_start_time_min,delta,max_slope_od,warnings
80,G8,1.078404,38.565169,0.989323,0.119000,0.900000,150.000000,4.000000,0.392326,0.000000
81,G9,1.079745,38.517257,0.988387,0.113000,0.900000,135.000000,4.000000,0.293326,0.000000
82,G10,1.095209,37.973416,0.991034,0.113000,0.900000,150.000000,4.000000,0.379326,0.000000
83,G11,1.101065,37.771458,0.991352,0.112000,0.900000,120.000000,4.000000,0.202326,0.000000
84,G12,1.045394,39.782921,0.998460,0.111000,0.900000,165.000000,4.000000,0.357326,0.000000
85,H1,0.821972,50.596396,0.992041,0.116000,0.900000,135.000000,4.000000,0.183326,0.000000
86,H2,0.801108,51.914152,0.996609,0.116000,0.900000,135.000000,4.000000,0.196326,0.000000
87,H3,0.760208,54.707158,0.998061,0.106000,0.900000,225.000000,4.000000,0.154326,0.000000
88,H4,0.805818,51.610694,0.994388,0.107000,0.900000,210.000000,4.000000,0.157326,0.000000
89,H5,0.788500,52.744252,0.997880,0.113000,0.900000,180.000000,4.000000,0.187326,0.000000
90,H6,0.831144,50.038087,0.996906,0.111000,0.900000,180.000000,4.000000,0.165326,0.000000
91,H7,1.060331,39.222510,0.990977,0.116000,0.900000,120.000000,4.000000,0.202326,0.000000
92,H8,1.021687,40.706054,0.991113,0.117000,0.900000,135.000000,4.000000,0.297326,0.000000
93,H9,1.084042,38.364582,0.999813,0.114000,0.900000,150.000000,4.000000,0.349326,0.000000
94,H10,1.074817,38.693871,0.989626,0.116000,0.900000,150.000000,4.000000,0.395326,0.000000
95,H11,1.013088,41.051551,0.997822,0.118000,0.900000,150.000000,4.000000,0.394326,0.000000
